jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='avg_err':steps=[1]:window=1000:field=object, 
1025,  6415,  completed,  eof,  2014-05-07 17:54:41,  2014-05-07 17:54:43,  2,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  36,  0.075025,  11,  15,  4,  0.025225,  0.742857142857, 
1025,  6446,  completed,  eof,  2014-05-07 17:54:42,  2014-05-07 17:54:45,  3,  modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.055135,  36,  0.055045,  11,  14,  3,  0.055135,  0.742857142857, 
1025,  6447,  completed,  eof,  2014-05-07 17:54:43,  2014-05-07 17:54:45,  2,  modelParams|clParams|alpha_0.0355647148893.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0545408434444,  36,  0.0355647148893,  11,  14,  2,  0.0545408434444,  0.742857142857, 
1025,  6478,  completed,  eof,  2014-05-07 17:54:43,  2014-05-07 17:54:46,  3,  modelParams|clParams|alpha_0.0545452851107.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0457591565556,  36,  0.0545452851107,  11,  14,  3,  0.0457591565556,  0.742857142857, 
1025,  6489,  completed,  eof,  2014-05-07 17:54:44,  2014-05-07 17:54:47,  3,  modelParams|clParams|alpha_0.0403098574447.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0498529217222,  36,  0.0403098574447,  11,  14,  3,  0.0498529217222,  0.742857142857, 
1025,  6490,  completed,  eof,  2014-05-07 17:54:45,  2014-05-07 17:54:47,  2,  modelParams|clParams|alpha_0.0498001425553.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0504470782778,  36,  0.0498001425553,  10,  14,  3,  0.0504470782778,  0.742857142857, 
1025,  6501,  completed,  eof,  2014-05-07 17:54:45,  2014-05-07 17:54:47,  2,  modelParams|clParams|alpha_0.0509293848252.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0511265063173,  36,  0.0509293848252,  11,  14,  3,  0.0511265063173,  0.742857142857, 
1025,  6502,  completed,  eof,  2014-05-07 17:54:46,  2014-05-07 17:54:47,  1,  modelParams|clParams|alpha_0.0468033849804.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0506208978964,  36,  0.0468033849804,  11,  14,  3,  0.0506208978964,  0.742857142857, 
1025,  6523,  completed,  eof,  2014-05-07 17:54:46,  2014-05-07 17:54:48,  2,  modelParams|clParams|alpha_0.0395404061096.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0606889544203,  36,  0.0395404061096,  11,  13,  3,  0.0606889544203,  0.742857142857, 
1025,  6524,  completed,  eof,  2014-05-07 17:54:47,  2014-05-07 17:54:48,  1,  modelParams|clParams|alpha_0.0479870000776.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0498971957895,  36,  0.0479870000776,  11,  14,  3,  0.0498971957895,  0.742857142857, 
