
jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='avg_err':steps=[1]:window=1000:field=object, 
1012,  5446,  completed,  eof,  2014-05-02 04:42:42,  2014-05-02 04:42:43,  1,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  6,  0.05005,  11,  14,  3,  0.05015,  0.6, 
1012,  5517,  completed,  eof,  2014-05-02 04:42:43,  2014-05-02 04:42:43,  0,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  6,  0.05005,  11,  14,  3,  0.05015,  0.6, 
1012,  5578,  completed,  eof,  2014-05-02 04:42:43,  2014-05-02 04:42:43,  0,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  6,  0.05005,  11,  14,  3,  0.05015,  1.0, 
1012,  5629,  completed,  eof,  2014-05-02 04:42:43,  2014-05-02 04:42:43,  0,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.1,  6,  0.0001,  9,  12,  1,  0.1,  0.6, 
1012,  5680,  completed,  eof,  2014-05-02 04:42:43,  2014-05-02 04:42:43,  0,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.1,  6,  0.0001,  9,  12,  1,  0.1,  0.6, 
1012,  5731,  completed,  eof,  2014-05-02 04:42:43,  2014-05-02 04:42:44,  1,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.1,  6,  0.0001,  9,  12,  1,  0.1,  1.0, 
1012,  5792,  completed,  eof,  2014-05-02 04:42:43,  2014-05-02 04:42:44,  1,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  6,  0.1,  12,  16,  5,  0.0003,  0.8, 
1012,  5853,  completed,  eof,  2014-05-02 04:42:44,  2014-05-02 04:42:44,  0,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  6,  0.1,  12,  16,  5,  0.0003,  0.8, 
1012,  5906,  completed,  eof,  2014-05-02 04:42:44,  2014-05-02 04:42:44,  0,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  6,  0.1,  12,  16,  5,  0.0003,  1.0, 
